avgrating,brand,price,size
4.6,Hisense,179.99,40
4.7,Sony,599.99,55
4.6,VIZIO,749.99,70
4.5,TCL,349.99,50
4.3,VIZIO,329.99,43
4.7,LG,"1,999.99",86
4.3,Hisense,399.99,55
4.7,Sony,"59,999.99",98
4.0,LG,"4,499.99",75
4.2,Westinghouse,599.99,65
4.2,Hisense,999.99,65
4.7,Sony,"1,299.99",65
4.6,Sony,"4,999.99",75
4.6,VIZIO,759.99,70
5.0,SunBriteTV,"3,499.99",Ve
4.9,VIZIO,"1,399.99",65
4.2,VIZIO,"1,999.99",75
4.0,SunBriteTV,"4,295.98",Pr
4.8,TCL,399.99,55
4.6,VIZIO,119.99,24
5.0,Toshiba,499.99,65
4.6,VIZIO,659.99,70
4.6,VIZIO,249.99,43
4.6,Hisense,799.99,65
4.1,TCL,599.99,55
4.8,Sony,"2,499.99",75
4.7,Toshiba,99.99,32
4.8,Samsung,"2,499.99",82
4.6,LG,89.99,24
4.6,LG,"1,099.99",65
3.8,Hisense,179.99,43
4.4,VIZIO,349.99,58
4.7,TCL,479.99,65
4.6,Insignia™,249.99,55
4.9,Samsung,"2,999.99",65
4.7,TCL,"1,299.99",75
4.6,TCL,729.99,65
4.6,LG,219.99,43
4.8,Sony,999.99,55
4.6,Samsung,279.99,43
4.5,Sony,"2,999.99",65
4.7,Hisense,599.99,65
4.8,Sony,"2,499.99",55
4.0,Hisense,499.99,65
4.6,LG,499.99,65
4.8,Samsung,"3,499.99",75
4.8,Samsung,799.99,43
4.5,LG,999.99,75
4.6,Toshiba,249.99,49
4.6,Insignia™,229.99,55
4.8,Samsung,749.99,65
4.7,LG,"2,799.99",86
4.8,Samsung,"1,799.99",82
4.6,LG,279.99,49
4.8,Samsung,"2,999.99",85
4.8,LG,"4,999.99",77
4.9,Sony,"3,999.99",85
4.6,Hisense,119.99,32
4.5,Hisense,219.99,43
4.8,Samsung,"3,999.99",75
4.5,Samsung,129.99,32
4.5,LG,899.99,55
4.9,Samsung,499.99,32
4.6,Hisense,249.99,50
4.1,TCL,299.99,43
4.8,Samsung,899.99,49
4.9,Sony,"3,499.99",65
4.6,Sharp,349.99,58
4.6,Samsung,"4,999.99",82
4.9,Sony,"4,999.99",77
4.5,Samsung,"1,099.99",55
4.6,TCL,199.99,40
4.8,Sony,"2,999.99",85
4.8,VIZIO,"1,499.99",75
4.6,Samsung,"1,599.99",65
4.8,Hisense,649.99,75
4.7,LG,"1,499.99",75
4.2,Westinghouse,99.99,24
4.4,Westinghouse,119.99,32
4.7,LG,149.99,32
3.3,VIZIO,139.99,32
4.7,LG,759.99,70
4.6,SunBriteTV,"1,999.99",Ve
4.6,Sharp,280.99,50
4.6,Toshiba,259.99,50
4.3,Westinghouse,139.99,32
4.6,LG,265.99,43
4.6,TCL,249.99,49
4.9,Sony,929.99,65
4.7,LG,899.99,75
4.7,Sharp,359.99,55
4.8,Samsung,"2,199.99",55
4.3,Hisense,349.99,50
4.5,VIZIO,329.99,55
4.6,Hisense,299.99,55
4.4,Westinghouse,179.99,49
4.6,LG,"1,999.99",75
5.0,Insignia™,479.99,58
4.5,Samsung,"4,499.99",82
4.7,Hisense,449.99,65
4.5,Westinghouse,99.99,32
4.2,Westinghouse,169.99,43
5.0,SunBriteTV,"5,745.98",Pr
4.8,LG,399.99,49
5.0,Samsung,"59,999.99",98
4.0,SunBriteTV,"4,295.98",Pr
5.0,SunBriteTV,"5,744.99",Pr
4.0,SunBriteTV,"4,295.98",Pr
5.0,SunBriteTV,"3,295.98",Pr
4.0,Hisense,699.99,55
4.5,VIZIO,"1,599.99",75
4.7,Hisense,509.99,65
4.1,Westinghouse,251.99,43
3.0,Sony,"12,999.99",85
4.7,Samsung,379.99,58
4.6,Sharp,99.99,24
4.8,Toshiba,269.99,50
4.7,Insignia™,59.99,22
4.8,Sony,499.99,55
4.7,Samsung,349.99,50
4.5,Sharp,239.99,50
4.6,Samsung,169.99,32
4.7,Insignia™,249.99,50
4.6,Insignia™,159.99,39
4.7,Toshiba,119.99,32
4.6,Samsung,279.99,50
4.6,Samsung,479.99,65
4.8,LG,729.99,75
4.7,Insignia™,279.99,55
4.7,Westinghouse,199.99,50
4.6,Samsung,549.99,70
4.6,Insignia™,109.99,32
